"claimId","stability","claimStatus","claim","publicValue","sourceId","sourceName","sourceUrl","evidenceStatus","lastCheckedOn","lastVerifiedOn","ownerConfirmedOn","ownerConfirmationNote","cadence","owner","pages","verificationNote"
"CLM-001","stable-property","verified","Waterfall Wonder is an entire home in Bushkill with on-property waterfall views.","Entire home in Bushkill with waterfall views","SRC-001","WanderHome Waterfall Wonder","https://www.gowanderhome.com/pocono-cabin-rentals/waterfall-wonder-(poconos)","verified","2026-07-16","2026-07-16","","","quarterly and before public launch","owner / WanderHome","index.html; waterfall-cabin-near-bushkill-falls/index.html","Primary listing identified Waterfall Wonder in Saw Creek Estates with Winona Falls views."
"CLM-001","stable-property","verified","Waterfall Wonder is an entire home in Bushkill with on-property waterfall views.","Entire home in Bushkill with waterfall views","SRC-002","Airbnb Waterfall Wonder","https://www.airbnb.com/rooms/1322697503906414464","verified","2026-07-16","2026-07-16","","","quarterly and before public launch","owner / WanderHome","index.html; waterfall-cabin-near-bushkill-falls/index.html","Airbnb identified an entire home in Bushkill and described waterfall views."
"CLM-001","stable-property","verified","Waterfall Wonder is an entire home in Bushkill with on-property waterfall views.","Entire home in Bushkill with waterfall views","SRC-003","Vrbo Waterfall Wonder","https://www.vrbo.com/4388577","verified","2026-07-16","2026-07-16","","","quarterly and before public launch","owner / WanderHome","index.html; waterfall-cabin-near-bushkill-falls/index.html","Vrbo identified the entire-home listing in Bushkill and displayed waterfall imagery/details."
"CLM-002","stable-property","verified","The current public booking maximum is 12 guests, including children and infants where the platform wording specifies that scope.","Up to 12 guests","SRC-001","WanderHome Waterfall Wonder","https://www.gowanderhome.com/pocono-cabin-rentals/waterfall-wonder-(poconos)","verified","2026-07-16","2026-07-16","","","monthly and before public launch","owner / WanderHome","index.html; large-group-poconos-cabin/index.html; sleeping-layout-poconos-cabin/index.html","WanderHome described a maximum of 12 guests."
"CLM-002","stable-property","verified","The current public booking maximum is 12 guests, including children and infants where the platform wording specifies that scope.","Up to 12 guests","SRC-002","Airbnb Waterfall Wonder","https://www.airbnb.com/rooms/1322697503906414464","verified","2026-07-16","2026-07-16","","","monthly and before public launch","owner / WanderHome","index.html; large-group-poconos-cabin/index.html; sleeping-layout-poconos-cabin/index.html","Airbnb displayed 12 guests and a maximum of 12 including children and infants."
"CLM-002","stable-property","verified","The current public booking maximum is 12 guests, including children and infants where the platform wording specifies that scope.","Up to 12 guests","SRC-003","Vrbo Waterfall Wonder","https://www.vrbo.com/4388577","verified","2026-07-16","2026-07-16","","","monthly and before public launch","owner / WanderHome","index.html; large-group-poconos-cabin/index.html; sleeping-layout-poconos-cabin/index.html","Vrbo displayed Sleeps 12."
"CLM-003","stable-property","verified","The booking-platform sleeping baseline is 2 king beds, 4 queen beds, 1 sleeper sofa, and 3 baths.","2 kings, 4 queens, 1 sleeper sofa, 3 baths","SRC-001","WanderHome Waterfall Wonder","https://www.gowanderhome.com/pocono-cabin-rentals/waterfall-wonder-(poconos)","verified","2026-07-16","2026-07-16","","","quarterly and before changing sleeping copy","owner / WanderHome","index.html; large-group-poconos-cabin/index.html; sleeping-layout-poconos-cabin/index.html","WanderHome listed king beds in the primary suite and game room, queen beds in three bedrooms and the loft, a loft sleeper sofa, and the current room narrative."
"CLM-003","stable-property","verified","The booking-platform sleeping baseline is 2 king beds, 4 queen beds, 1 sleeper sofa, and 3 baths.","2 kings, 4 queens, 1 sleeper sofa, 3 baths","SRC-002","Airbnb Waterfall Wonder","https://www.airbnb.com/rooms/1322697503906414464","verified","2026-07-16","2026-07-16","","","quarterly and before changing sleeping copy","owner / WanderHome","index.html; large-group-poconos-cabin/index.html; sleeping-layout-poconos-cabin/index.html","Airbnb displayed 7 beds and 3 baths and repeated the detailed sleeping arrangement."
"CLM-003","stable-property","verified","The booking-platform sleeping baseline is 2 king beds, 4 queen beds, 1 sleeper sofa, and 3 baths.","2 kings, 4 queens, 1 sleeper sofa, 3 baths","SRC-003","Vrbo Waterfall Wonder","https://www.vrbo.com/4388577","verified","2026-07-16","2026-07-16","","","quarterly and before changing sleeping copy","owner / WanderHome","index.html; large-group-poconos-cabin/index.html; sleeping-layout-poconos-cabin/index.html","Vrbo displayed 4 bedrooms, 3 baths, Sleeps 12, and its room-and-bed breakdown."
"CLM-004","stable-property","verified","The current listing includes a covered hot tub, game room, fire pit/fireplaces, decks, and dog supplies among its core amenities.","Covered hot tub, game room, fire features, decks, and dog supplies","SRC-001","WanderHome Waterfall Wonder","https://www.gowanderhome.com/pocono-cabin-rentals/waterfall-wonder-(poconos)","verified","2026-07-16","2026-07-16","","","quarterly and before public launch","owner / WanderHome","index.html; large-group-poconos-cabin/index.html; pet-friendly-poconos-cabin/index.html","Core amenity list was present on the primary direct-booking page."
"CLM-004","stable-property","verified","The current listing includes a covered hot tub, game room, fire pit/fireplaces, decks, and dog supplies among its core amenities.","Covered hot tub, game room, fire features, decks, and dog supplies","SRC-002","Airbnb Waterfall Wonder","https://www.airbnb.com/rooms/1322697503906414464","verified","2026-07-16","2026-07-16","","","quarterly and before public launch","owner / WanderHome","index.html; large-group-poconos-cabin/index.html; pet-friendly-poconos-cabin/index.html","Airbnb repeated the covered hot tub, game room, fire features, decks, and dog-supply details."
"CLM-010","volatile","verified","Airbnb displayed a 5.0 rating from 57 reviews on July 16, 2026.","5.0 / 57 reviews","SRC-002","Airbnb Waterfall Wonder","https://www.airbnb.com/rooms/1322697503906414464","verified","2026-07-16","2026-07-16","","","monthly and before public launch","site maintainer","index.html","The primary Airbnb page displayed Rated 5.0 out of 5 from 57 reviews."
"CLM-011","owner-only","owner-confirmed","The owner directed the site not to restore individual homepage review excerpts; no individual excerpts are currently published.","Keep the verified rating snapshot and direct platform links; do not publish individual excerpts.","","","","owner-confirmed","","","2026-07-22","Owner directed that individual review excerpts not be published.","before changing review excerpts","owner / site maintainer","index.html","No external-source evidence row; owner confirmation is recorded in its dedicated fields."
"CLM-020","volatile","verified","Dogs are allowed only under current approval, fee, limit, and house-rule terms shown by the booking platform; the public site should refer guests to the live booking page rather than hard-code those terms.","Dogs by approval; see the live booking page for current terms.","SRC-001","WanderHome Waterfall Wonder","https://www.gowanderhome.com/pocono-cabin-rentals/waterfall-wonder-(poconos)","verified","2026-07-16","2026-07-16","","","monthly and before public launch","WanderHome / owner","index.html; pet-friendly-poconos-cabin/index.html; guest-guide/safety-and-access-notes/index.html","The direct-booking page exposed dog-count controls and a current fee statement."
"CLM-020","volatile","verified","Dogs are allowed only under current approval, fee, limit, and house-rule terms shown by the booking platform; the public site should refer guests to the live booking page rather than hard-code those terms.","Dogs by approval; see the live booking page for current terms.","SRC-002","Airbnb Waterfall Wonder","https://www.airbnb.com/rooms/1322697503906414464","verified","2026-07-16","2026-07-16","","","monthly and before public launch","WanderHome / owner","index.html; pet-friendly-poconos-cabin/index.html; guest-guide/safety-and-access-notes/index.html","Airbnb displayed dog vetting, a per-dog fee, and a maximum-dog term."
"CLM-020","volatile","verified","Dogs are allowed only under current approval, fee, limit, and house-rule terms shown by the booking platform; the public site should refer guests to the live booking page rather than hard-code those terms.","Dogs by approval; see the live booking page for current terms.","SRC-003","Vrbo Waterfall Wonder","https://www.vrbo.com/4388577","verified","2026-07-16","2026-07-16","","","monthly and before public launch","WanderHome / owner","index.html; pet-friendly-poconos-cabin/index.html; guest-guide/safety-and-access-notes/index.html","Vrbo displayed matching approval, fee, and maximum-dog wording."
"CLM-021","volatile","verified","WanderHome is the live destination for dates, estimated pricing, guest/dog/vehicle inputs, and booking details.","Opens WanderHome for live dates, fees, policies, and pet approval.","SRC-001","WanderHome Waterfall Wonder","https://www.gowanderhome.com/pocono-cabin-rentals/waterfall-wonder-(poconos)","verified","2026-07-16","2026-07-16","","","monthly and before public launch","WanderHome / site maintainer","index.html; large-group-poconos-cabin/index.html; sleeping-layout-poconos-cabin/index.html; pet-friendly-poconos-cabin/index.html; guest-guide/safety-and-access-notes/index.html","The primary direct-booking page loaded live booking controls and estimated-price flow."
"CLM-022","volatile","verified","Rental-agreement timing, registration charges, amenity-pass terms, early/late fees, and other booking charges are platform-controlled and should not be hard-coded on the public site.","Review current terms on the booking platform.","SRC-002","Airbnb Waterfall Wonder","https://www.airbnb.com/rooms/1322697503906414464","verified","2026-07-16","2026-07-16","","","monthly and before public launch","WanderHome / Saw Creek Estates","index.html; pet-friendly-poconos-cabin/index.html; guest-guide/safety-and-access-notes/index.html","Airbnb displayed current rental-agreement, community registration, pass, and fee wording."
"CLM-022","volatile","verified","Rental-agreement timing, registration charges, amenity-pass terms, early/late fees, and other booking charges are platform-controlled and should not be hard-coded on the public site.","Review current terms on the booking platform.","SRC-003","Vrbo Waterfall Wonder","https://www.vrbo.com/4388577","verified","2026-07-16","2026-07-16","","","monthly and before public launch","WanderHome / Saw Creek Estates","index.html; pet-friendly-poconos-cabin/index.html; guest-guide/safety-and-access-notes/index.html","Vrbo displayed current wording with channel-specific presentation differences, supporting a live-link-only public treatment."
"CLM-023","volatile","verified","Saw Creek amenity access, schedules, passes, fees, reservations, and availability are community-controlled and subject to change.","Saw Creek amenities are subject to current community rules and availability.","SRC-002","Airbnb Waterfall Wonder","https://www.airbnb.com/rooms/1322697503906414464","verified","2026-07-16","2026-07-16","","","monthly and before public launch","Saw Creek Estates / WanderHome","index.html; guest-guide/safety-and-access-notes/index.html","Airbnb expressly stated HOA-controlled availability, operating hours, and reservation requirements can change."
"CLM-023","volatile","verified","Saw Creek amenity access, schedules, passes, fees, reservations, and availability are community-controlled and subject to change.","Saw Creek amenities are subject to current community rules and availability.","SRC-003","Vrbo Waterfall Wonder","https://www.vrbo.com/4388577","verified","2026-07-16","2026-07-16","","","monthly and before public launch","Saw Creek Estates / WanderHome","index.html; guest-guide/safety-and-access-notes/index.html","Vrbo repeated that HOA-controlled amenity details are subject to change without notice."
"CLM-024","stable-property","verified","Waterfall and stream access is natural, steep terrain without an easy maintained route; guests assume risk and children must be kept away from the water.","Natural waterfall terrain; no maintained easy path; supervise children and pets.","SRC-002","Airbnb Waterfall Wonder","https://www.airbnb.com/rooms/1322697503906414464","verified","2026-07-16","2026-07-16","","","quarterly and before changing safety copy","owner / WanderHome","index.html; guest-guide/safety-and-access-notes/index.html","Airbnb stated access is at guests' own risk, there is no easy path down the mountain, and children should not be allowed near the water."
"CLM-024","stable-property","verified","Waterfall and stream access is natural, steep terrain without an easy maintained route; guests assume risk and children must be kept away from the water.","Natural waterfall terrain; no maintained easy path; supervise children and pets.","SRC-003","Vrbo Waterfall Wonder","https://www.vrbo.com/4388577","verified","2026-07-16","2026-07-16","","","quarterly and before changing safety copy","owner / WanderHome","index.html; guest-guide/safety-and-access-notes/index.html","Vrbo repeated conservative waterfall-access and mountain-road cautions."
